epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,46408.3,0.53094,0.35448,0.99376,0.98235,0.97705,0.99231,0.93177,0.32093,0.49383,0.82541,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,47838.1,0.52382,0.35132,0.98871,0.97901,0.98058,0.99229,0.93254,0.32021,0.4897,0.82469,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,49268,0.52653,0.35393,0.99379,0.98202,0.97783,0.99233,0.9327,0.31932,0.48216,0.82416,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,50699.2,0.51967,0.34574,0.98788,0.98172,0.97817,0.99233,0.93295,0.31842,0.47597,0.82347,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,52125.9,0.52221,0.34704,0.98932,0.98208,0.97806,0.99236,0.93286,0.31802,0.46704,0.82283,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,53551,0.51547,0.34438,0.98445,0.98275,0.97806,0.99234,0.9328,0.31763,0.46063,0.82235,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,54979.7,0.51533,0.34575,0.98911,0.98317,0.97823,0.99228,0.93279,0.31723,0.45497,0.82211,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,56409.2,0.51825,0.34393,0.98785,0.98341,0.97829,0.99229,0.93297,0.3168,0.45043,0.82158,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,57842.3,0.51303,0.34232,0.98492,0.98205,0.97947,0.99229,0.93316,0.31627,0.44833,0.82092,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,59267.7,0.51211,0.34,0.98315,0.98149,0.97997,0.99231,0.93372,0.31557,0.44449,0.82014,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
