epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
137,196675,0.35055,0.21598,0.89699,0.98643,0.98242,0.99293,0.94507,0.28106,0.20444,0.79175,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,198106,0.35002,0.21647,0.89939,0.98609,0.9825,0.99293,0.94501,0.28089,0.2025,0.79185,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,199534,0.34555,0.21262,0.89878,0.98553,0.98292,0.99288,0.94502,0.28077,0.21135,0.79216,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,200966,0.34297,0.20911,0.89685,0.98591,0.98325,0.99282,0.94493,0.28076,0.21392,0.79235,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,202369,0.25831,0.14254,0.82483,0.98575,0.98325,0.9928,0.9449,0.28092,0.2156,0.79245,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,203761,0.25287,0.13929,0.8219,0.98588,0.98345,0.99277,0.94484,0.28084,0.21643,0.79253,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,205151,0.249,0.13687,0.82091,0.98552,0.98337,0.99273,0.94469,0.28077,0.21703,0.79277,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,206539,0.24524,0.13512,0.81761,0.98566,0.98302,0.99269,0.94473,0.28066,0.21673,0.79285,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,207930,0.24132,0.13241,0.81613,0.9843,0.98464,0.99265,0.9446,0.28054,0.21688,0.79297,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,209319,0.23806,0.13079,0.81561,0.9847,0.98429,0.9926,0.94458,0.28045,0.21801,0.79308,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,210709,0.23496,0.12821,0.81444,0.98475,0.98406,0.99254,0.94446,0.28022,0.21949,0.79315,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,212106,0.23211,0.126,0.81445,0.98429,0.98406,0.99256,0.94359,0.28012,0.22036,0.79315,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,213497,0.22977,0.12346,0.81125,0.98586,0.9821,0.99254,0.94347,0.28022,0.22075,0.79332,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,214879,0.2265,0.12105,0.81173,0.98608,0.9818,0.99252,0.9434,0.28019,0.22118,0.79358,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
