epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7435.05,0.68553,0.48464,1.01421,0.96009,0.94361,0.97409,0.84697,0.57612,0.35692,0.91584,0.0011882,0.0011882,0.0011882
43,7721.09,0.68059,0.48969,1.02077,0.96235,0.93484,0.97577,0.83786,0.58505,0.36497,0.93389,0.0011684,0.0011684,0.0011684
44,8007.09,0.68921,0.48625,1.02479,0.95969,0.9411,0.97291,0.8401,0.57913,0.35599,0.92619,0.0011486,0.0011486,0.0011486
45,8263.36,0.67492,0.47987,1.01857,0.96184,0.9477,0.97188,0.84062,0.56498,0.35683,0.92406,0.0011288,0.0011288,0.0011288
46,8570.01,0.6689,0.47032,1.01105,0.96297,0.94737,0.97957,0.85177,0.55794,0.34031,0.91257,0.001109,0.001109,0.001109
47,8851.35,0.66804,0.4702,1.01065,0.94874,0.95098,0.9709,0.84794,0.5505,0.34791,0.90596,0.0010892,0.0010892,0.0010892
48,9087.2,0.66478,0.46369,1.00728,0.96414,0.94334,0.96974,0.8395,0.57057,0.34611,0.92825,0.0010694,0.0010694,0.0010694
49,9335.23,0.65606,0.45608,1.00346,0.96638,0.96366,0.97761,0.84524,0.57154,0.33385,0.9354,0.0010496,0.0010496,0.0010496
50,9590.56,0.64694,0.44718,0.99803,0.97047,0.94732,0.97326,0.84956,0.54888,0.33289,0.91424,0.0010298,0.0010298,0.0010298
51,9835.64,0.64665,0.45256,1.00099,0.96974,0.94987,0.97351,0.84771,0.54707,0.33932,0.90371,0.00101,0.00101,0.00101
52,10081.8,0.64401,0.44905,0.99539,0.97387,0.9386,0.97502,0.85576,0.54857,0.33555,0.91566,0.0009902,0.0009902,0.0009902
53,10299.6,0.64013,0.44362,0.99559,0.96216,0.95602,0.97989,0.86414,0.54259,0.32881,0.91114,0.0009704,0.0009704,0.0009704
54,10525,0.64052,0.43804,0.99652,0.97301,0.94859,0.97845,0.85707,0.53872,0.32199,0.91158,0.0009506,0.0009506,0.0009506
55,10767.3,0.6356,0.43895,0.99429,0.95854,0.95238,0.97538,0.85321,0.54652,0.33794,0.91279,0.0009308,0.0009308,0.0009308
56,10895.9,0.62923,0.43779,0.99462,0.97192,0.95238,0.97863,0.86438,0.52277,0.31802,0.89809,0.000911,0.000911,0.000911
57,11016.2,0.63362,0.44462,0.99217,0.96487,0.94987,0.97243,0.85133,0.53795,0.33501,0.91347,0.0008912,0.0008912,0.0008912
58,11133.3,0.62654,0.43154,0.98901,0.96763,0.95489,0.977,0.86253,0.5357,0.31515,0.90074,0.0008714,0.0008714,0.0008714
59,11247.2,0.61495,0.42926,0.98638,0.96108,0.95918,0.97554,0.8652,0.5301,0.31932,0.89962,0.0008516,0.0008516,0.0008516
60,11361.2,0.61782,0.43006,0.99069,0.96921,0.95238,0.97917,0.86477,0.53017,0.32195,0.89799,0.0008318,0.0008318,0.0008318
61,11478.5,0.62848,0.43329,0.99435,0.97687,0.95248,0.97854,0.86016,0.52569,0.30753,0.90161,0.000812,0.000812,0.000812
62,11590.9,0.6052,0.42047,0.97323,0.96194,0.9501,0.97665,0.86468,0.5312,0.3159,0.90299,0.0007922,0.0007922,0.0007922
63,11703.4,0.60533,0.41892,0.9803,0.98291,0.93712,0.97942,0.86267,0.517,0.31569,0.90031,0.0007724,0.0007724,0.0007724
64,11816.4,0.604,0.42041,0.97775,0.96504,0.95113,0.97744,0.86077,0.52582,0.3169,0.90314,0.0007526,0.0007526,0.0007526
65,11929.2,0.60125,0.41262,0.97722,0.97666,0.94737,0.97777,0.85803,0.52479,0.31388,0.90003,0.0007328,0.0007328,0.0007328
66,12042.1,0.59235,0.39872,0.96799,0.96019,0.95363,0.97931,0.86453,0.52748,0.30631,0.90199,0.000713,0.000713,0.000713
67,12155.2,0.60326,0.40646,0.97948,0.98462,0.94236,0.97841,0.86918,0.51453,0.30378,0.89022,0.0006932,0.0006932,0.0006932
68,12267.5,0.57671,0.3931,0.96205,0.97924,0.94612,0.97873,0.86954,0.51405,0.30142,0.89745,0.0006734,0.0006734,0.0006734
69,12380.3,0.60332,0.40534,0.97568,0.97678,0.94905,0.97934,0.87128,0.51435,0.298,0.89373,0.0006536,0.0006536,0.0006536
70,12493.1,0.58844,0.4033,0.97439,0.97797,0.94581,0.97973,0.87313,0.51259,0.29648,0.89179,0.0006338,0.0006338,0.0006338
71,12605.4,0.58726,0.4005,0.97191,0.97196,0.95566,0.97845,0.86403,0.52531,0.30238,0.90704,0.000614,0.000614,0.000614
72,12718.1,0.58241,0.39823,0.96962,0.97443,0.95491,0.98114,0.87424,0.51031,0.29001,0.89872,0.0005942,0.0005942,0.0005942
73,12830.3,0.58808,0.39271,0.97121,0.97464,0.94862,0.9802,0.87409,0.51229,0.29653,0.89516,0.0005744,0.0005744,0.0005744
74,12942.4,0.57172,0.37951,0.96249,0.97251,0.9599,0.98214,0.87694,0.51169,0.28476,0.89431,0.0005546,0.0005546,0.0005546
75,13054.7,0.57491,0.38415,0.96414,0.9815,0.94612,0.98131,0.87915,0.50719,0.29197,0.88991,0.0005348,0.0005348,0.0005348
76,13166.9,0.56544,0.38132,0.96566,0.98272,0.95238,0.98034,0.87605,0.5023,0.28729,0.8874,0.000515,0.000515,0.000515
77,13279.8,0.56507,0.37983,0.96403,0.98072,0.95633,0.97819,0.87327,0.50819,0.28634,0.89306,0.0004952,0.0004952,0.0004952
